unit,sex,age,icd10,geo\time	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
RT,T,TOTAL,I20-I25,DE26	153.14 	150.47 	148.78 	142.5 	137.86 	134.2 	129.71 	126.34 
RT,T,TOTAL,I20-I25,DE27	143.76 	138.83 	136.74 	134.47 	130.45 	123.79 	119.19 	118.86 
RT,T,TOTAL,I20-I25,DE30	140.45 	127.94 	121.66 	118.63 	122.15 	123.51 	124.75 	125.42 
RT,T,TOTAL,I20-I25,DE40	198.5 	190.46 	181.89 	175.32 	170.65 	167.63 	162.34 	154.94 
RT,T,TOTAL,I20-I25,DE50	128.11 	136.14 	137.51 	129.44 	117.79 	104.52 	103.89 	112.85 
RT,T,TOTAL,I20-I25,DE60	142.91 	136.06 	132.59 	124.1 	119.56 	112.91 	108.47 	103.54 
RT,T,TOTAL,I20-I25,DE71	146.5 	142.64 	140.97 	134.97 	132.56 	127.05 	123.34 	120.24 
RT,T,TOTAL,I20-I25,DE72	174.97 	172.59 	166.94 	159.31 	156.11 	152.26 	150.04 	144.27 
RT,T,TOTAL,I20-I25,DE73	159.03 	154.52 	154.52 	148.66 	148.1 	145.61 	141.87 	138.83 
RT,T,TOTAL,I20-I25,DE80	210.15 	206.54 	202.25 	192.97 	185.91 	179.03 	173.88 	169.73 
RT,T,TOTAL,I20-I25,DE91	178.85 	173.72 	169.36 	162.68 	160.69 	156.5 	152.56 	148.14 
RT,T,TOTAL,I20-I25,DE92	169.74 	165.91 	165.17 	158.99 	156.51 	146.89 	143.09 	136.08 
RT,T,TOTAL,I20-I25,DE93	170.75 	166.86 	162.82 	156.56 	152.6 	149.8 	146.21 	140.83 
RT,T,TOTAL,I20-I25,DE94	174.48 	169.2 	167.33 	162.33 	158 	151.15 	144.32 	141 
RT,T,TOTAL,I20-I25,DEA1	127.25 	119.53 	116.65 	111.53 	115.55 	117.08 	116.26 	111.11 
RT,T,TOTAL,I20-I25,DEA2	134.21 	125.73 	125.46 	120.51 	125.43 	123.88 	122.64 	117.38 
RT,T,TOTAL,I20-I25,DEA3	130.22 	122.5 	117.98 	109.3 	113.58 	115.01 	114.41 	110.72 
RT,T,TOTAL,I20-I25,DEA4	122.77 	116.71 	115.74 	114.77 	120.4 	120.82 	116.33 	110.86 
RT,T,TOTAL,I20-I25,DEA5	133.1 	126.92 	120.9 	115.08 	117.47 	118.05 	116.12 	108.69 
RT,T,TOTAL,I20-I25,DEB1	185.69 	181.99 	177.14 	167.65 	163.11 	156.37 	150.07 	143.5 
RT,T,TOTAL,I20-I25,DEB2	166.44 	156.21 	154.08 	148.5 	151.65 	145.23 	142.5 	134.33 
RT,T,TOTAL,I20-I25,DEB3	160.16 	153.25 	149.15 	140.2 	136.92 	130.44 	128.74 	125.34 
RT,T,TOTAL,I20-I25,DEC0	200.77 	196.85 	190.1 	178.16 	169.69 	162.65 	158.09 	154.24 
RT,T,TOTAL,I20-I25,DED2	192.59 	183.67 	173.72 	161.83 	155.65 	149.98 	143.51 	139.81 
RT,T,TOTAL,I20-I25,DED4	224.63 	215.53 	209.65 	200.87 	196.15 	189.93 	182.62 	180.13 
RT,T,TOTAL,I20-I25,DED5	207.87 	200.88 	199.86 	188.15 	184.44 	179.27 	175.57 	171.56 
RT,T,TOTAL,I20-I25,DEE0	234.8 	224.93 	219.35 	209.49 	200.79 	188.74 	178.71 	172.76 
RT,T,TOTAL,I20-I25,DEF0	133.04 	128.03 	128.73 	124.09 	125.1 	120.07 	116.16 	109.58 
RT,T,TOTAL,I20-I25,DEG0	179.08 	175.58 	171.6 	163.63 	160.45 	158.03 	154.51 	147.16 
RT,T,TOTAL,I20-I25,DK01	81.55 	77.46 	72.27 	70.24 	67.65 	63.14 	58.53 	53.8 
RT,T,TOTAL,I20-I25,DK02	96.27 	90.91 	84.92 	83.22 	79.87 	75.77 	70 	68.02 
RT,T,TOTAL,I20-I25,DK03	99.95 	90.3 	82.84 	76.15 	71.81 	69.75 	66.84 	64.79 
RT,T,TOTAL,I20-I25,DK04	94.41 	88.85 	83.16 	76.81 	73.1 	69.31 	67.27 	65.11 
RT,T,TOTAL,I20-I25,DK05	103.86 	96.62 	88.03 	79.9 	72.81 	69.61 	66.19 	62.01 
RT,T,TOTAL,I20-I25,EE00	346.64 	323.19 	292.18 	272.54 	252.51 	237.28 	212.03 	185.2 
RT,T,TOTAL,I20-I25,EL30	118.75 	119.02 	119.53 	119.55 	120.7 	121.01 	124.98 	124.24 
RT,T,TOTAL,I20-I25,EL41	63.51 	71.94 	76.53 	82.43 	86.85 	88.6 	92.23 	85.92 
RT,T,TOTAL,I20-I25,EL42	93.25 	90.97 	90.3 	90.57 	87.68 	86.56 	90.41 	95.47 
RT,T,TOTAL,I20-I25,EL43	79.5 	79.07 	76.61 	73.97 	73.19 	74.02 	79 	77.28 
RT,T,TOTAL,I20-I25,EL51	: 	: 	111.48 	110.29 	113.42 	119.35 	124.52 	121.34 
RT,T,TOTAL,I20-I25,EL52	: 	: 	102.3 	98.28 	95.62 	93.09 	97.21 	99.61 
RT,T,TOTAL,I20-I25,EL53	: 	: 	90.55 	86.58 	83.9 	83.06 	84.21 	87.55 
RT,T,TOTAL,I20-I25,EL54	: 	: 	72.86 	70.77 	74.2 	78.99 	81.98 	83.49 
RT,T,TOTAL,I20-I25,EL61	: 	: 	81.48 	80.07 	80.17 	78.86 	78.22 	79.15 
RT,T,TOTAL,I20-I25,EL62	: 	: 	70.38 	74.52 	78.47 	78.63 	80.38 	86.48 
RT,T,TOTAL,I20-I25,EL63	: 	: 	77.74 	78.06 	81.41 	82.08 	85.69 	87.03 
RT,T,TOTAL,I20-I25,EL64	: 	: 	106.4 	105.4 	105.35 	102.57 	108.04 	110.54 
RT,T,TOTAL,I20-I25,EL65	: 	: 	90.22 	90.04 	92.04 	90.79 	92.7 	92.96 
RT,T,TOTAL,I20-I25,ES11	72.37 	67.99 	65.43 	62.67 	61.36 	59.51 	55.95 	54.32 
RT,T,TOTAL,I20-I25,ES12	98.54 	96.35 	94.33 	91.09 	85.89 	80 	74.37 	70.8 
RT,T,TOTAL,I20-I25,ES13	61.95 	57.71 	58.17 	57.4 	54.73 	51.01 	47.26 	45.75 
RT,T,TOTAL,I20-I25,ES21	58.67 	55.31 	53.29 	51.24 	50.26 	47.54 	44.26 	41.93 
RT,T,TOTAL,I20-I25,ES22	57.99 	55.4 	52.66 	49.54 	48.99 	48.43 	47.84 	44.49 
RT,T,TOTAL,I20-I25,ES23	66.1 	66.35 	64.1 	61.39 	58.75 	57.55 	55.73 	56.08 
RT,T,TOTAL,I20-I25,ES24	69.8 	65.94 	64.41 	64.62 	63.32 	61.34 	57.27 	54.45 
RT,T,TOTAL,I20-I25,ES30	58.82 	55.65 	55.31 	53.2 	51.99 	49.94 	47.74 	46.14 
RT,T,TOTAL,I20-I25,ES41	67.8 	64.49 	63.03 	60.54 	58.71 	55.19 	53.12 	51.3 
RT,T,TOTAL,I20-I25,ES42	70.36 	66.57 	64.1 	60.59 	59.29 	54.46 	53.25 	51.54 
RT,T,TOTAL,I20-I25,ES43	84.57 	82.84 	82.34 	77.89 	74.22 	70 	66.66 	63.44 
RT,T,TOTAL,I20-I25,ES51	65.83 	64.08 	60.16 	56.76 	54.83 	51.6 	48.96 	46.51 
RT,T,TOTAL,I20-I25,ES52	92.67 	87.64 	83.36 	79.67 	76.7 	71.75 	67.45 	63.01 
RT,T,TOTAL,I20-I25,ES53	78.15 	74.89 	73.5 	71.17 	69.54 	64.45 	59.88 	53.39 
RT,T,TOTAL,I20-I25,ES61	96.46 	90.99 	87.94 	84.8 	83.78 	81.72 	79.12 	76.36 
RT,T,TOTAL,I20-I25,ES62	84.47 	79.01 	74.98 	72.19 	72.37 	68.04 	65.82 	61.44 
RT,T,TOTAL,I20-I25,ES63	125.16 	106.58 	86.14 	84.17 	86.41 	81.16 	68.68 	76.51 
RT,T,TOTAL,I20-I25,ES64	96.11 	88.03 	88.53 	86.49 	82.39 	83.78 	72.41 	78.22 
RT,T,TOTAL,I20-I25,ES70	92.44 	87.3 	85.96 	89.16 	88.03 	87.12 	81.32 	79.86 
RT,T,TOTAL,I20-I25,FI19	211.82 	195.24 	184.21 	178.89 	174.08 	165.81 	156.24 	146.14 
RT,T,TOTAL,I20-I25,FI1B	184.99 	176.47 	167.89 	165.18 	157.08 	148.15 	135.2 	127.05 
RT,T,TOTAL,I20-I25,FI1C	224.18 	214.16 	201.66 	189.97 	182 	174.89 	160.99 	148.65 
RT,T,TOTAL,I20-I25,FI1D	265.73 	255.95 	242 	230.78 	219.38 	210.68 	194.84 	181.43 
RT,T,TOTAL,I20-I25,FI20	178.99 	168.27 	171.82 	192.34 	187.1 	166.82 	146.16 	133.91 
RT,T,TOTAL,I20-I25,FR10	45.1 	42.9 	40.9 	39.09 	37.65 	36.59 	35.83 	34.96 
RT,T,TOTAL,I20-I25,FRB0	53.52 	53.7 	52.54 	50.92 	49.74 	48.1 	47.07 	46.11 
RT,T,TOTAL,I20-I25,FRC1	57.81 	54.85 	52.38 	51.3 	49.88 	48.26 	46.92 	46.08 
RT,T,TOTAL,I20-I25,FRC2	56.42 	54.24 	52.15 	49.27 	47.57 	45.75 	44.96 	44.24 
RT,T,TOTAL,I20-I25,FRD1	67.47 	63.5 	61.19 	56.84 	55.02 	53.06 	50.73 	48.73 
RT,T,TOTAL,I20-I25,FRD2	62.75 	61.12 	59.81 	58.87 	57.52 	54.54 	50.27 	47.78 
RT,T,TOTAL,I20-I25,FRE1	66.33 	62.77 	59.83 	57 	55.67 	53.11 	50.33 	48.68 
RT,T,TOTAL,I20-I25,FRE2	62.56 	58.94 	56.42 	54.5 	53.6 	51.89 	50.17 	48.39 
RT,T,TOTAL,I20-I25,FRF1	64.97 	62.51 	59.69 	57.63 	55.08 	53.57 	51.36 	48.98 
RT,T,TOTAL,I20-I25,FRF2	57.01 	55.03 	53.13 	51.15 	50.93 	48.97 	47.04 	45.23 
RT,T,TOTAL,I20-I25,FRF3	56.01 	54.73 	54.01 	51.66 	50.05 	48.33 	47.41 	44.81 
RT,T,TOTAL,I20-I25,FRG0	51.63 	50.08 	48.48 	46.96 	46.23 	44.72 	42.97 	40.64 
RT,T,TOTAL,I20-I25,FRH0	65.43 	62.38 	59.05 	57.26 	55.33 	53.45 	51.03 	48.46 
RT,T,TOTAL,I20-I25,FRI1	51.66 	49.04 	47.84 	45.69 	44.66 	43.03 	41.9 	39.9 
RT,T,TOTAL,I20-I25,FRI2	59.42 	57.07 	56.01 	53.28 	50.39 	48.62 	46.57 	43.47 
RT,T,TOTAL,I20-I25,FRI3	52.15 	49.72 	48.99 	47.11 	46.45 	45.09 	43.59 	41.62 
RT,T,TOTAL,I20-I25,FRJ1	53.44 	50.78 	49.94 	50.39 	48.7 	47.01 	45.01 	44.05 
RT,T,TOTAL,I20-I25,FRJ2	50.08 	47.27 	44.99 	44.25 	44.02 	42.9 	42.06 	40.73 
RT,T,TOTAL,I20-I25,FRK1	62.49 	60.85 	58.84 	55.98 	52.53 	49.73 	47.26 	45.94 
RT,T,TOTAL,I20-I25,FRK2	49 	47.27 	44.59 	42.68 	41.02 	38.98 	37.93 	36.38 
RT,T,TOTAL,I20-I25,FRL0	46.87 	45.96 	44.88 	42.9 	41.64 	39.52 	38.58 	37.54 
RT,T,TOTAL,I20-I25,FRM0	62.46 	59.67 	57.56 	49.4 	46.82 	47.25 	47.54 	48.1 
RT,T,TOTAL,I20-I25,FRY1	: 	24.47 	25.21 	23.52 	23.58 	23.38 	26.03 	25.02 
RT,T,TOTAL,I20-I25,FRY2	22.46 	23.35 	26.74 	28.27 	28.95 	27.38 	26.38 	24.07 
RT,T,TOTAL,I20-I25,FRY3	26.56 	26.97 	27.92 	29.67 	32.67 	29.65 	31.82 	29.01 
RT,T,TOTAL,I20-I25,FRY4	69.34 	65.44 	64.4 	63.68 	62.92 	60.51 	62.15 	60.3 
RT,T,TOTAL,I20-I25,FRY5	: 	: 	: 	38.16 	29.36 	23.07 	26.15 	31.3 
RT,T,TOTAL,I20-I25,HR03	305.98 	295.26 	294.32 	285.31 	287.73 	267.61 	244.84 	211.05 
RT,T,TOTAL,I20-I25,HR04	325.2 	319 	320.99 	312.06 	306.2 	: 	: 	: 
RT,T,TOTAL,I20-I25,HU11	333.87 	320.23 	316.32 	314.79 	321.03 	327.88 	329.35 	322.38 
RT,T,TOTAL,I20-I25,HU12	442.21 	425.13 	421.23 	405.76 	407.99 	388.1 	389.69 	376.04 
RT,T,TOTAL,I20-I25,HU21	416.77 	407.85 	401.77 	376.76 	362.79 	343.47 	338.14 	333.64 
RT,T,TOTAL,I20-I25,HU22	377.32 	368.35 	361.31 	347.6 	342.76 	335.42 	334.74 	327.48 
RT,T,TOTAL,I20-I25,HU23	407.38 	388.98 	374.08 	351.84 	345.63 	332.05 	325.73 	318.86 
RT,T,TOTAL,I20-I25,HU31	483.26 	481.57 	479.05 	474.69 	466.38 	454.03 	434.35 	422.54 
RT,T,TOTAL,I20-I25,HU32	461.12 	459.91 	448.75 	440.6 	425.45 	413.63 	408.82 	402.26 
RT,T,TOTAL,I20-I25,HU33	409.49 	401.06 	394.7 	386.7 	385.63 	379.98 	381.54 	377.08 
RT,T,TOTAL,I20-I25,IE04	: 	: 	165.97 	159.77 	151.95 	144.7 	135.44 	131.16 
RT,T,TOTAL,I20-I25,IE05	: 	: 	169.96 	164.22 	156.83 	147.08 	133.92 	131.25 
RT,T,TOTAL,I20-I25,IE06	: 	: 	140.95 	130.41 	125.56 	118.61 	113.04 	106.28 
RT,T,TOTAL,I20-I25,IS00	160.45 	150.41 	145.06 	135.86 	130.81 	125.84 	120.11 	112.38 
RT,T,TOTAL,I20-I25,ITC1	90.9 	87.94 	85.31 	81.67 	78.84 	73.95 	71.89 	71.95 
RT,T,TOTAL,I20-I25,ITC2	92.49 	86.72 	81.58 	75.95 	76.87 	77.81 	77.71 	75.25 
RT,T,TOTAL,I20-I25,ITC3	105.05 	99.82 	93.49 	87.86 	83.58 	79.02 	75.56 	74.2 
RT,T,TOTAL,I20-I25,ITC4	101.83 	96.43 	92.23 	87.54 	84.17 	77.98 	74.71 	73.98 
RT,T,TOTAL,I20-I25,ITF1	129.3 	126.03 	124.26 	120.33 	117.63 	109.7 	103.66 	98.67 
RT,T,TOTAL,I20-I25,ITF2	128.54 	126.56 	129.42 	121.69 	116.5 	106.99 	105.39 	98.4 
RT,T,TOTAL,I20-I25,ITF3	148.88 	142.84 	142.9 	138.62 	135.55 	126.27 	122.09 	118.99 
RT,T,TOTAL,I20-I25,ITF4	107.69 	103.49 	100.77 	96.07 	94.19 	88.13 	86.07 	83.75 
RT,T,TOTAL,I20-I25,ITF5	111.79 	108.56 	102.09 	98.85 	98.44 	93.46 	88.96 	84.52 
RT,T,TOTAL,I20-I25,ITF6	106.3 	104.76 	101.57 	99.4 	97.27 	92.96 	90.6 	87.27 
